date,code,usdprice
2012-08-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.4407
2012-09-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.7119
2012-10-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.3729
2012-10-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.3729
2012-11-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.7119
2012-11-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.7119
2012-12-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.6271
2013-01-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.3729
2013-01-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.3729
2013-02-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.1186
2013-02-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.1186
2013-03-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.0339
2013-03-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.0339
2014-01-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.3729
2014-01-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.3729
2014-02-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.0339
2014-02-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.0339
2014-03-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.6949
2014-03-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.6949
2014-04-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.6949
2014-04-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.6949
2014-05-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.6949
2014-06-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.6949
2014-07-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.6949
2014-07-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.6949
2015-05-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,3.7288
2015-06-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,5.0847
2015-07-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,8.4746
2015-07-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,8.4746
2015-08-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,5.4237
2015-08-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,5.4237
2015-09-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,5.8305
2015-09-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,5.8305
2015-11-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,6.7797
2015-12-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,4.1819
2016-01-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.2031
2016-01-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.2031
2016-02-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.6852
2016-02-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.6852
2016-03-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.3197
2016-03-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.3197
2016-04-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.1494
2016-04-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.1494
2016-05-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.0851
2016-06-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.0535
2016-07-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.4048
2016-08-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.8699
2016-10-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.0057
2016-10-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.0057
2016-11-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,0.8681
2016-11-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,0.8681
2016-12-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,0.8611
2017-02-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.2384
2017-02-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.2384
2017-03-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,0.9362
2017-03-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,0.9362
2017-04-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.2724
2017-04-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.2724
2017-05-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.2369
2017-06-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.2187
2017-07-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.1939
2017-07-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.1939
2017-08-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.1941
2017-08-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.1941
2017-10-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.3086
2017-10-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.3086
2017-11-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.046
2017-12-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,0.8909
2018-01-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.0795
2018-01-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.0795
2018-03-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.353
2018-03-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.353
2018-04-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.7979
2018-04-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.7979
2018-06-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.8121
2018-07-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.035
2018-07-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,2.035
2018-08-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.7519
2018-08-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.7519
2019-03-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.6582
2019-03-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.6582
2019-04-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.6597
